Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Alex Neal-Bullen,Adelaide,Gen. Forward,21.0,10.0,11.0,0.48,0.52,3.0,1.0,4.0,4.68,0.68,4.0,-0.08
1,Ben Keays,Adelaide,Gen. Forward,18.0,11.0,7.0,0.61,0.39,7.0,1.0,0.0,1.24,1.0,0.24,3.2
1,Daniel Curtin,Adelaide,Midfielder,7.0,3.0,4.0,0.43,0.57,3.0,0.0,1.0,-6.36,-5.96,-0.4,-1.52
1,Darcy Fogarty,Adelaide,Key Forward,12.0,11.0,1.0,0.92,0.08,6.0,4.0,1.0,0.79,3.25,-2.46,1.21
1,Isaac Cumming,Adelaide,Midfielder,16.0,11.0,5.0,0.69,0.31,4.0,2.0,1.0,1.38,0.96,0.42,-0.21
1,Izak Rankine,Adelaide,Mid-Forward,28.0,10.0,18.0,0.36,0.64,3.0,2.0,5.0,7.45,-2.96,10.41,-0.96
1,Jake Soligo,Adelaide,Midfielder,29.0,16.0,13.0,0.55,0.45,3.0,1.0,8.0,8.12,3.64,4.48,0.28
1,James Peatling,Adelaide,Midfielder,19.0,11.0,8.0,0.58,0.42,2.0,1.0,3.0,0.35,0.35,0.0,-0.74
1,Jordan Dawson,Adelaide,Midfielder,27.0,24.0,3.0,0.89,0.11,9.0,2.0,4.0,3.64,8.32,-4.68,4.32
1,Josh Rachele,Adelaide,Gen. Forward,21.0,12.0,9.0,0.57,0.43,5.0,2.0,1.0,9.5,3.36,6.14,1.64
1,Josh Worrell,Adelaide,Gen. Defender,25.0,16.0,9.0,0.64,0.36,6.0,0.0,3.0,4.0,1.4,2.6,0.24
1,Lachlan Sholl,Adelaide,Midfielder,22.0,13.0,9.0,0.59,0.41,4.0,0.0,2.0,8.0,4.6,3.4,-0.4
1,Mark Keane,Adelaide,Key Defender,21.0,14.0,7.0,0.67,0.33,6.0,0.0,0.0,6.2,2.2,4.0,1.48
1,Matt Crouch,Adelaide,Midfielder,31.0,8.0,23.0,0.26,0.74,1.0,1.0,4.0,5.33,0.0,5.33,-2.0
1,Max Michalanney,Adelaide,Gen. Defender,14.0,11.0,3.0,0.79,0.21,3.0,0.0,0.0,0.67,2.24,-1.57,-1.33
1,Mitchell Hinge,Adelaide,Gen. Defender,19.0,10.0,9.0,0.53,0.47,6.0,0.0,3.0,3.42,-1.0,4.42,1.88
1,Nick Murray,Adelaide,Key Defender,14.0,7.0,7.0,0.5,0.5,7.0,0.0,2.0,5.58,1.67,3.92,3.58
1,Reilly O'Brien,Adelaide,Ruck,12.0,7.0,5.0,0.58,0.42,2.0,0.0,4.0,0.0,0.64,-0.64,-1.0
1,Riley Thilthorpe,Adelaide,Key Forward,13.0,9.0,4.0,0.69,0.31,5.0,3.0,3.0,-0.72,-0.64,-0.08,-0.52
1,Rory Laird,Adelaide,Gen. Defender,29.0,12.0,17.0,0.41,0.59,7.0,0.0,4.0,4.86,-1.0,5.86,1.04
1,Sid Draper,Adelaide,Mid-Forward,,,,,,,,,,,,
1,Taylor Walker,Adelaide,Key Forward,,,,,,,,,,,,
1,Wayne Milera,Adelaide,Gen. Defender,13.0,6.0,7.0,0.46,0.54,4.0,0.0,1.0,-4.83,-6.04,1.21,-1.5
2,Alex Neal-Bullen,Adelaide,Gen. Forward,18.0,9.0,9.0,0.5,0.5,5.0,2.0,4.0,1.68,-0.32,2.0,1.92
2,Ben Keays,Adelaide,Gen. Forward,22.0,17.0,5.0,0.77,0.23,11.0,4.0,3.0,5.24,7.0,-1.76,7.2
2,Daniel Curtin,Adelaide,Midfielder,13.0,8.0,5.0,0.62,0.38,5.0,1.0,4.0,-0.36,-0.96,0.6,0.48
2,Darcy Fogarty,Adelaide,Key Forward,14.0,11.0,3.0,0.79,0.21,9.0,3.0,0.0,2.79,3.25,-0.46,4.21
2,Isaac Cumming,Adelaide,Midfielder,9.0,4.0,5.0,0.44,0.56,0.0,0.0,2.0,-5.62,-6.04,0.42,-4.21
2,Izak Rankine,Adelaide,Mid-Forward,,,,,,,,,,,,
2,Jake Soligo,Adelaide,Midfielder,27.0,15.0,12.0,0.56,0.44,6.0,2.0,2.0,6.12,2.64,3.48,3.28
2,James Peatling,Adelaide,Midfielder,13.0,5.0,8.0,0.38,0.62,2.0,0.0,3.0,-5.65,-5.65,0.0,-0.74
2,Jordan Dawson,Adelaide,Midfielder,33.0,22.0,11.0,0.67,0.33,8.0,0.0,6.0,9.64,6.32,3.32,3.32
2,Josh Rachele,Adelaide,Gen. Forward,16.0,13.0,3.0,0.81,0.19,8.0,4.0,1.0,4.5,4.36,0.14,4.64
2,Josh Worrell,Adelaide,Gen. Defender,18.0,11.0,7.0,0.61,0.39,8.0,0.0,3.0,-3.0,-3.6,0.6,2.24
2,Lachlan Sholl,Adelaide,Midfielder,19.0,14.0,5.0,0.74,0.26,9.0,1.0,0.0,5.0,5.6,-0.6,4.6
2,Mark Keane,Adelaide,Key Defender,10.0,8.0,2.0,0.8,0.2,1.0,0.0,0.0,-4.8,-3.8,-1.0,-3.52
2,Matt Crouch,Adelaide,Midfielder,32.0,13.0,19.0,0.41,0.59,7.0,0.0,8.0,6.33,5.0,1.33,4.0
2,Max Michalanney,Adelaide,Gen. Defender,15.0,12.0,3.0,0.8,0.2,8.0,0.0,1.0,1.67,3.24,-1.57,3.67
2,Mitchell Hinge,Adelaide,Gen. Defender,16.0,13.0,3.0,0.81,0.19,1.0,1.0,5.0,0.42,2.0,-1.58,-3.12
2,Nick Murray,Adelaide,Key Defender,13.0,8.0,5.0,0.62,0.38,5.0,0.0,3.0,4.58,2.67,1.92,1.58
