Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Brandon Starcevich,Brisbane,Gen. Defender,13.0,6.0,7.0,0.46,0.54,3.0,0.0,2.0,2.15,-1.85,4.0,-0.69
1,Callum Ah Chee,Brisbane,Gen. Forward,14.0,7.0,7.0,0.5,0.5,3.0,1.0,1.0,0.72,-1.84,2.56,-2.24
1,Cam Rayner,Brisbane,Gen. Forward,13.0,8.0,5.0,0.62,0.38,2.0,0.0,0.0,-2.73,-1.19,-1.54,-1.46
1,Conor McKenna,Brisbane,Gen. Forward,10.0,7.0,3.0,0.7,0.3,1.0,0.0,0.0,5.0,3.2,1.8,-0.4
1,Darcy Fort,Brisbane,Ruck,14.0,10.0,4.0,0.71,0.29,4.0,1.0,1.0,3.75,3.95,-0.2,2.1
1,Darcy Wilmot,Brisbane,Gen. Defender,25.0,17.0,8.0,0.68,0.32,4.0,0.0,4.0,4.54,3.15,1.38,-1.96
1,Dayne Zorko,Brisbane,Gen. Defender,24.0,20.0,4.0,0.83,0.17,6.0,2.0,3.0,-2.27,-1.08,-1.19,-0.81
1,Eric Hipwood,Brisbane,Key Forward,5.0,4.0,1.0,0.8,0.2,3.0,1.0,1.0,-5.5,-3.68,-1.82,-1.86
1,Harris Andrews,Brisbane,Key Defender,7.0,5.0,2.0,0.71,0.29,2.0,0.0,0.0,-7.04,-5.42,-1.62,-6.15
1,Hugh McCluggage,Brisbane,Midfielder,21.0,11.0,10.0,0.52,0.48,2.0,0.0,1.0,-6.15,-3.69,-2.46,-2.31
1,Jack Payne,Brisbane,Key Defender,8.0,4.0,4.0,0.5,0.5,2.0,0.0,1.0,-3.62,-4.38,0.77,-4.0
1,Jarrod Berry,Brisbane,Midfielder,27.0,16.0,11.0,0.59,0.41,10.0,0.0,1.0,7.12,3.88,3.25,4.29
1,Jaspa Fletcher,Brisbane,Gen. Defender,12.0,6.0,6.0,0.5,0.5,0.0,0.0,2.0,-9.0,-7.73,-1.27,-6.65
1,Josh Dunkley,Brisbane,Midfielder,27.0,17.0,10.0,0.63,0.37,5.0,1.0,10.0,2.11,4.96,-2.85,0.31
1,Kai Lohmann,Brisbane,Gen. Forward,,,,,,,,,,,,
1,Lachie Neale,Brisbane,Midfielder,10.0,5.0,5.0,0.5,0.5,0.0,0.0,3.0,-17.29,-8.33,-8.95,-4.19
1,Levi Ashcroft,Brisbane,Midfielder,25.0,16.0,9.0,0.64,0.36,5.0,0.0,0.0,5.77,3.85,1.92,0.54
1,Logan Morris,Brisbane,Key Forward,5.0,5.0,0.0,1.0,0.0,1.0,1.0,3.0,-4.44,-1.68,-2.76,-3.04
1,Noah Answerth,Brisbane,Gen. Defender,11.0,8.0,3.0,0.73,0.27,3.0,0.0,6.0,-2.29,-1.23,-1.06,-2.0
1,Oscar McInerney,Brisbane,Ruck,18.0,12.0,6.0,0.67,0.33,5.0,1.0,1.0,8.46,6.54,1.92,3.46
1,Ryan Lester,Brisbane,Gen. Defender,15.0,10.0,5.0,0.67,0.33,4.0,0.0,2.0,2.24,1.44,0.8,-1.44
1,Will Ashcroft,Brisbane,Midfielder,21.0,11.0,10.0,0.52,0.48,0.0,0.0,4.0,-5.96,-2.42,-3.54,-4.23
1,Zac Bailey,Brisbane,Mid-Forward,17.0,9.0,8.0,0.53,0.47,1.0,4.0,0.0,-2.88,-3.08,0.2,-3.72
2,Bruce Reville,Brisbane,Midfielder,,,,,,,,,,,,
2,Callum Ah Chee,Brisbane,Gen. Forward,13.0,11.0,2.0,0.85,0.15,8.0,3.0,2.0,-0.28,2.16,-2.44,2.76
2,Cam Rayner,Brisbane,Gen. Forward,8.0,4.0,4.0,0.5,0.5,2.0,0.0,8.0,-7.73,-5.19,-2.54,-1.46
2,Conor McKenna,Brisbane,Gen. Forward,,,,,,,,,,,,
2,Darcy Wilmot,Brisbane,Gen. Defender,23.0,17.0,6.0,0.74,0.26,7.0,0.0,2.0,2.54,3.15,-0.62,1.04
