Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Brayden Maynard,Collingwood,Gen. Defender,20250106,0,20.7,8.37,87,73,0.02,0,82,12,2,14,64.3,522,3,5,1,4,0,6,0,1,3,1,0,2,2,0,0,6,3,8,0
1,Nick Daicos,Collingwood,Midfielder,20250106,5,19.7,15.06,98,95,1.49,25,75,19,7,26,80.8,610,9,6,4,3,3,2,68,4,6,0,0,2,1,1,2,8,1,11,0
1,Steele Sidebottom,Collingwood,Midfielder,20250106,7,18.3,8.57,109,110,1.41,23,85,16,15,31,74.2,415,6,11,8,5,4,3,65,3,3,0,0,1,1,0,0,5,6,18,0
1,Ned Long,Collingwood,Midfielder,20250106,0,17.2,5.59,113,90,0.14,2,72,12,12,24,70.8,344,2,14,11,6,5,4,71,5,1,0,0,2,0,1,2,5,7,28,1
1,Jack Crisp,Collingwood,Midfielder,20250106,0,17.0,12.72,107,101,0.04,1,87,11,15,26,76.9,470,8,12,9,7,6,5,3,4,3,0,0,0,0,0,1,6,7,18,0
1,Jamie Elliott,Collingwood,Gen. Forward,20250106,0,13.9,7.25,80,55,0.01,0,83,7,3,10,80.0,193,1,3,1,3,1,2,0,0,3,0,1,3,2,1,2,6,2,14,0
1,Daniel McStay,Collingwood,Key Forward,20250106,5,13.9,6.76,118,124,1.29,21,82,10,11,21,66.7,252,2,10,3,6,2,1,16,3,7,0,4,6,3,2,0,8,5,18,10
1,Dan Houston,Collingwood,Gen. Defender,20250106,9,13.4,13.14,132,92,0.58,10,78,14,13,27,88.9,287,5,8,7,7,6,10,0,1,2,1,0,0,0,0,0,6,5,12,0
1,Josh Daicos,Collingwood,Gen. Defender,20250106,0,12.3,9.71,88,99,0.04,1,88,11,15,26,73.1,309,3,7,5,5,4,9,0,2,5,2,1,0,0,0,0,4,5,12,0
1,Tim Membrey,Collingwood,Key Forward,20250106,1,12.3,6.26,121,106,0.47,8,78,12,5,17,70.6,263,4,6,4,6,4,2,0,0,10,1,2,5,4,1,2,11,1,7,1
1,Lachie Schultz,Collingwood,Gen. Forward,20250106,0,12.0,7.28,89,81,0.0,0,84,5,12,17,82.4,74,1,9,7,9,7,6,0,0,4,0,0,2,1,0,1,6,7,24,0
1,Brody Mihocek,Collingwood,Key Forward,20250106,0,11.8,7.03,69,57,0.02,0,86,4,5,9,66.7,91,0,5,3,5,3,2,0,0,3,0,2,4,3,0,0,5,2,11,0
1,Darcy Moore,Collingwood,Key Defender,20250106,0,11.8,11.02,85,59,0.01,0,89,8,2,10,90.0,238,1,3,1,3,1,7,0,0,7,3,1,0,0,0,0,3,2,6,0
1,Harry Perryman,Collingwood,Gen. Defender,20250106,0,10.8,8.96,62,49,0.0,0,78,7,6,13,92.3,210,5,5,5,5,5,4,42,2,1,0,0,0,0,0,1,3,4,22,0
1,Lachlan Sullivan,Collingwood,Gen. Forward,20250106,0,9.4,8.3,52,55,0.01,0,85,5,7,12,58.3,95,1,6,4,4,3,3,23,2,1,0,0,2,1,0,0,4,4,14,0
1,Patrick Lipinski,Collingwood,Mid-Forward,20250106,1,9.0,9.76,95,97,0.13,2,88,16,8,24,79.2,487,5,4,3,3,2,3,0,1,8,0,0,2,1,1,1,7,1,9,0
1,Darcy Cameron,Collingwood,Ruck,20250106,0,9.0,13.5,74,69,0.02,0,72,9,5,14,42.9,202,2,10,8,0,0,1,81,7,1,1,0,0,0,0,0,1,3,12,22
1,Isaac Quaynor,Collingwood,Gen. Defender,20250106,0,8.3,7.41,54,57,0.01,0,87,10,6,16,93.8,313,0,1,0,1,0,1,0,0,5,0,0,0,0,0,0,4,0,11,0
1,Bobby Hill,Collingwood,Gen. Forward,20250106,0,7.3,8.35,45,35,0.01,0,76,6,4,10,90.0,230,3,1,1,1,1,0,0,0,2,0,0,2,2,0,3,7,0,7,0
1,Reef McInnes,Collingwood,Key Defender,20250106,0,6.0,5.98,53,54,0.0,0,82,9,2,11,81.8,195,1,2,1,2,1,4,0,0,6,1,0,0,0,0,0,2,1,6,0
1,Jeremy Howe,Collingwood,Gen. Defender,20250106,0,3.2,8.59,44,38,0.0,0,60,9,1,10,60.0,222,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,2,0,5,0
1,Scott Pendlebury,Collingwood,Midfielder,20250106,0,2.4,4.33,19,30,0.0,0,28,3,5,8,75.0,121,2,2,2,1,1,1,29,1,2,0,0,1,0,1,1,2,1,15,0
1,Beau McCreery,Collingwood,Gen. Forward,20250106,0,2.0,7.99,46,56,0.0,0,73,8,4,12,66.7,224,1,0,0,0,0,0,3,0,5,0,0,1,0,1,2,4,2,10,0
10,Jeremy Howe,Collingwood,Gen. Defender,20251003,7,14.7,9.25,128,74,0.15,2,98,10,7,17,94.1,332,0,6,3,6,3,13,0,0,5,4,1,0,0,0,0,2,4,7,0
10,Josh Daicos,Collingwood,Gen. Defender,20251003,10,12.9,9.22,116,82,1.71,30,86,14,15,29,75.9,524,3,10,9,8,8,11,0,1,4,2,0,0,0,0,0,5,1,4,0
10,Steele Sidebottom,Collingwood,Midfielder,20251003,0,11.7,9.88,102,83,0.09,1,86,13,9,22,72.7,440,0,8,6,3,2,5,4,5,3,1,0,1,1,0,0,4,3,12,0
10,Jack Crisp,Collingwood,Midfielder,20251003,0,11.1,12.68,88,59,0.02,0,79,6,10,16,68.8,343,3,10,9,8,7,4,50,1,1,0,0,2,1,0,1,5,5,20,0
10,Ned Long,Collingwood,Midfielder,20251003,2,10.9,9.25,94,77,0.11,1,70,6,13,19,63.2,251,3,10,8,4,4,3,67,5,0,0,0,0,0,0,2,6,9,22,0
10,Billy Frampton,Collingwood,Key Defender,20251003,0,10.6,7.29,83,44,0.0,0,95,8,6,14,85.7,380,1,4,2,3,1,6,0,1,2,1,0,0,0,0,0,0,1,3,0
10,Harry Perryman,Collingwood,Gen. Defender,20251003,0,10.3,8.89,78,51,0.01,0,78,9,7,16,62.5,237,2,7,5,7,5,6,0,0,4,2,0,0,0,0,0,3,0,7,0
10,Darcy Cameron,Collingwood,Ruck,20251003,0,10.1,12.85,107,83,0.01,0,83,9,4,13,61.5,209,3,7,5,4,3,6,88,2,5,3,0,1,1,0,0,2,2,10,21
10,Brayden Maynard,Collingwood,Gen. Defender,20251003,0,9.4,9.15,117,90,0.03,0,87,14,10,24,70.8,582,6,7,5,6,4,6,0,0,4,0,0,0,0,0,0,5,4,15,0
10,Dan Houston,Collingwood,Gen. Defender,20251003,0,8.6,11.53,94,76,0.02,0,79,10,5,15,86.7,382,1,6,4,6,4,6,0,0,6,2,2,1,1,0,0,2,3,12,0
10,Jamie Elliott,Collingwood,Gen. Forward,20251003,0,8.5,8.53,78,64,0.01,0,79,10,4,14,64.3,262,3,8,5,8,5,0,4,1,4,0,1,4,1,2,0,7,1,12,0
10,Brody Mihocek,Collingwood,Key Forward,20251003,0,7.8,7.27,33,24,0.0,0,87,3,3,6,66.7,86,2,5,3,4,2,0,0,0,3,0,1,1,1,0,0,3,0,5,0
10,Scott Pendlebury,Collingwood,Midfielder,20251003,0,7.2,11.61,92,74,0.04,0,77,11,11,22,77.3,158,1,6,5,3,3,3,58,1,3,0,0,1,0,1,1,6,2,12,0
10,Will Hoskin-Elliott,Collingwood,Gen. Forward,20251003,0,7.1,6.82,63,63,0.01,0,84,9,2,11,72.7,236,1,2,0,1,0,0,0,0,5,0,0,2,2,0,0,4,1,4,0
10,Beau McCreery,Collingwood,Gen. Forward,20251003,0,7.0,8.38,67,67,0.01,0,81,9,3,12,50.0,409,6,5,1,4,1,3,25,3,2,0,0,3,1,1,0,8,6,24,0
