Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Alex Pearce,Fremantle,Key Defender,11.0,9.0,2.0,0.82,0.18,4.0,0.0,2.0,-0.06,2.69,-2.75,-0.94
1,Andrew Brayshaw,Fremantle,Midfielder,26.0,8.0,18.0,0.31,0.69,1.0,1.0,6.0,-0.96,-4.17,3.21,-1.92
1,Bailey Banfield,Fremantle,Gen. Defender,11.0,6.0,5.0,0.55,0.45,0.0,1.0,2.0,-2.24,-2.19,-0.05,-3.19
1,Brandon Walker,Fremantle,Gen. Defender,13.0,7.0,6.0,0.54,0.46,1.0,0.0,5.0,4.0,2.5,1.5,0.5
1,Brennan Cox,Fremantle,Key Defender,9.0,7.0,2.0,0.78,0.22,3.0,1.0,1.0,-1.54,0.42,-1.96,-1.75
1,Caleb Serong,Fremantle,Midfielder,27.0,14.0,13.0,0.52,0.48,1.0,0.0,3.0,-0.38,0.21,-0.58,-0.71
1,Corey Wagner,Fremantle,Midfielder,24.0,12.0,12.0,0.5,0.5,1.0,0.0,2.0,9.41,2.53,6.88,-1.65
1,Heath Chapman,Fremantle,Gen. Defender,,,,,,,,,,,,
1,Jaeger O'Meara,Fremantle,Midfielder,31.0,9.0,22.0,0.29,0.71,6.0,0.0,3.0,13.64,1.43,12.21,3.43
1,Jeremy Sharp,Fremantle,Midfielder,19.0,8.0,11.0,0.42,0.58,3.0,0.0,3.0,5.79,1.0,4.79,0.14
1,Jordan Clark,Fremantle,Gen. Defender,23.0,11.0,12.0,0.48,0.52,5.0,0.0,2.0,-1.12,-4.88,3.75,0.25
1,Josh Treacy,Fremantle,Key Forward,9.0,5.0,4.0,0.56,0.44,3.0,1.0,1.0,-2.5,-2.75,0.25,-2.0
1,Joshua Draper,Fremantle,Key Defender,9.0,5.0,4.0,0.56,0.44,5.0,0.0,2.0,1.18,0.64,0.54,2.54
1,Jye Amiss,Fremantle,Key Forward,7.0,4.0,3.0,0.57,0.43,2.0,0.0,2.0,-0.12,-0.71,0.58,-1.42
1,Karl Worner,Fremantle,Gen. Defender,11.0,4.0,7.0,0.36,0.64,0.0,0.0,5.0,-2.74,-3.78,1.04,-4.09
1,Liam Reidy,Fremantle,Ruck,6.0,4.0,2.0,0.67,0.33,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1,Luke Jackson,Fremantle,Ruck,16.0,7.0,9.0,0.44,0.56,2.0,0.0,3.0,-1.76,-0.29,-1.48,-1.43
1,Luke Ryan,Fremantle,Gen. Defender,18.0,13.0,5.0,0.72,0.28,4.0,0.0,2.0,-2.75,-3.0,0.25,-2.08
1,Matthew Johnson,Fremantle,Midfielder,27.0,12.0,15.0,0.44,0.56,3.0,0.0,4.0,8.22,3.11,5.11,-1.11
1,Michael Frederick,Fremantle,Gen. Forward,13.0,10.0,3.0,0.77,0.23,4.0,2.0,4.0,1.67,2.62,-0.96,0.62
1,Murphy Reid,Fremantle,Gen. Forward,13.0,10.0,3.0,0.77,0.23,3.0,4.0,0.0,-1.46,2.17,-3.62,0.96
1,Nathan O'Driscoll,Fremantle,Midfielder,25.0,11.0,14.0,0.44,0.56,2.0,0.0,4.0,9.14,2.29,6.86,-1.0
1,Sam Switkowski,Fremantle,Gen. Forward,,,,,,,,,,,,
2,Alex Pearce,Fremantle,Key Defender,11.0,6.0,5.0,0.55,0.45,5.0,0.0,0.0,-0.06,-0.31,0.25,0.06
2,Andrew Brayshaw,Fremantle,Midfielder,19.0,6.0,13.0,0.32,0.68,2.0,0.0,8.0,-7.96,-6.17,-1.79,-0.92
2,Bailey Banfield,Fremantle,Gen. Defender,10.0,4.0,6.0,0.4,0.6,1.0,1.0,0.0,-3.24,-4.19,0.95,-2.19
2,Brandon Walker,Fremantle,Gen. Defender,,,,,,,,,,,,
