Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Aidan Johnson,Melbourne,Key Forward,7.0,5.0,2.0,0.71,0.29,1.0,1.0,5.0,1.6,2.0,-0.4,0.0
1,Bayley Fritsch,Melbourne,Gen. Forward,12.0,7.0,5.0,0.58,0.42,2.0,0.0,3.0,-0.54,-0.5,-0.04,-2.68
1,Blake Howes,Melbourne,Gen. Defender,,,,,,,,,,,,
1,Caleb Windsor,Melbourne,Gen. Defender,16.0,8.0,8.0,0.5,0.5,3.0,1.0,0.0,1.77,-1.0,2.76,0.0
1,Christian Petracca,Melbourne,Mid-Forward,27.0,13.0,14.0,0.48,0.52,2.0,2.0,3.0,1.52,1.48,0.04,-1.56
1,Christian Salem,Melbourne,Gen. Defender,30.0,27.0,3.0,0.9,0.1,8.0,0.0,3.0,7.09,10.83,-3.74,0.35
1,Clayton Oliver,Melbourne,Midfielder,25.0,10.0,15.0,0.4,0.6,5.0,0.0,5.0,-0.55,-0.82,0.27,2.14
1,Ed Langdon,Melbourne,Mid-Forward,19.0,13.0,6.0,0.68,0.32,8.0,0.0,2.0,-0.04,3.22,-3.26,3.0
1,Harrison Petty,Melbourne,Key Forward,16.0,12.0,4.0,0.75,0.25,8.0,0.0,3.0,7.37,6.42,0.95,3.95
1,Harry Sharp,Melbourne,Gen. Forward,9.0,7.0,2.0,0.78,0.22,1.0,1.0,2.0,2.56,3.06,-0.5,-1.0
1,Harvey Langford,Melbourne,Midfielder,,,,,,,,,,,,
1,Jack Henderson,Melbourne,Gen. Forward,13.0,6.0,7.0,0.46,0.54,1.0,1.0,3.0,3.0,1.0,2.0,-1.2
1,Jack Viney,Melbourne,Midfielder,27.0,15.0,12.0,0.56,0.44,4.0,0.0,1.0,5.11,4.89,0.22,1.39
1,Jacob van Rooyen,Melbourne,Key Forward,6.0,2.0,4.0,0.33,0.67,0.0,1.0,2.0,-4.31,-3.25,-1.06,-2.88
1,Jake Bowey,Melbourne,Gen. Defender,19.0,16.0,3.0,0.84,0.16,3.0,1.0,4.0,-3.57,0.22,-3.78,-2.17
1,Jake Lever,Melbourne,Gen. Defender,22.0,13.0,9.0,0.59,0.41,9.0,0.0,3.0,10.0,6.25,3.75,3.38
1,Kade Chandler,Melbourne,Gen. Forward,11.0,7.0,4.0,0.64,0.36,4.0,0.0,4.0,-3.61,-1.13,-2.48,0.22
1,Matthew Jefferson,Melbourne,Key Forward,5.0,3.0,2.0,0.6,0.4,1.0,2.0,2.0,-0.43,-0.14,-0.29,-0.86
1,Max Gawn,Melbourne,Ruck,24.0,12.0,12.0,0.5,0.5,3.0,0.0,2.0,3.26,1.7,1.56,-2.7
1,Tom McDonald,Melbourne,Key Defender,18.0,10.0,8.0,0.56,0.44,5.0,0.0,1.0,3.59,0.41,3.18,-1.12
1,Tom Sparrow,Melbourne,Gen. Forward,21.0,14.0,7.0,0.67,0.33,4.0,1.0,5.0,7.96,6.41,1.54,0.5
1,Trent Rivers,Melbourne,Gen. Defender,25.0,14.0,11.0,0.56,0.44,7.0,0.0,1.0,3.65,0.83,2.83,1.57
1,Xavier Lindsay,Melbourne,Midfielder,22.0,12.0,10.0,0.55,0.45,3.0,0.0,6.0,8.44,4.28,4.17,-0.17
2,Bayley Fritsch,Melbourne,Gen. Forward,4.0,3.0,1.0,0.75,0.25,1.0,1.0,0.0,-8.54,-4.5,-4.04,-3.68
2,Blake Howes,Melbourne,Gen. Defender,11.0,4.0,7.0,0.36,0.64,3.0,0.0,4.0,0.17,-1.25,1.42,-0.33
