Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
1,Luke Davies-Uniacke,North Melbourne,Midfielder,20250105,0,18.6,14.64,88,84,0.07,0,86,12,8,20,90.0,438,6,8,3,2,0,1,73,5,4,0,0,2,2,0,1,8,2,13,0
1,Tristan Xerri,North Melbourne,Ruck,20250105,3,16.9,15.25,122,129,0.06,0,83,4,13,17,64.7,5,1,13,6,2,0,3,88,5,4,3,2,0,0,0,0,5,7,16,51
1,Nick Larkey,North Melbourne,Key Forward,20250105,3,16.3,7.17,85,65,0.12,1,89,7,1,8,75.0,168,1,5,1,5,1,0,0,0,3,0,2,6,5,1,0,9,1,7,0
1,Paul Curtis,North Melbourne,Gen. Forward,20250105,0,14.4,8.03,71,71,0.01,0,88,8,5,13,69.2,179,2,5,4,4,3,1,0,0,4,0,1,3,3,0,0,6,4,16,0
1,Jack Darling,North Melbourne,Key Forward,20250105,0,14.4,6.02,80,68,0.0,0,93,9,6,15,60.0,278,3,10,6,7,4,0,12,1,5,0,2,1,1,0,2,7,2,7,1
1,Bailey Scott,North Melbourne,Midfielder,20250105,0,13.3,7.52,98,79,0.0,0,81,10,8,18,72.2,392,3,7,6,6,5,2,0,0,2,0,0,1,1,0,2,4,5,10,0
1,Robert Hansen Jr,North Melbourne,Mid-Forward,20250105,0,12.7,4.76,71,39,0.0,0,70,6,9,15,93.3,150,2,8,6,1,1,2,0,6,1,1,0,0,0,0,1,6,0,4,0
1,Jy Simpkin,North Melbourne,Mid-Forward,20250105,0,12.5,10.67,115,125,0.07,0,76,19,11,30,60.0,407,5,12,7,6,4,5,30,4,4,2,0,2,1,1,1,7,7,22,0
1,Jacob Konstanty,North Melbourne,Gen. Forward,20250105,0,11.9,5.38,74,55,0.0,0,67,6,4,10,80.0,124,2,5,2,5,2,3,0,0,1,0,0,0,0,0,1,2,6,17,0
1,Aidan Corr,North Melbourne,Key Defender,20250105,0,11.6,8.07,89,82,0.0,0,94,13,5,18,72.2,277,0,5,4,5,4,4,0,0,4,0,0,1,0,0,0,2,5,14,0
