Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Aidan Corr,North Melbourne,Key Defender,18.0,13.0,5.0,0.72,0.28,4.0,0.0,5.0,4.3,3.0,1.3,-0.3
1,Bailey Scott,North Melbourne,Midfielder,18.0,10.0,8.0,0.56,0.44,2.0,1.0,5.0,7.5,3.92,3.58,-1.67
1,Caleb Daniel,North Melbourne,Gen. Defender,24.0,13.0,11.0,0.54,0.46,3.0,0.0,6.0,-1.61,-3.35,1.74,-0.83
1,Cameron Zurhaar,North Melbourne,Gen. Forward,20.0,14.0,6.0,0.7,0.3,10.0,1.0,2.0,9.46,6.36,3.09,6.14
1,Charlie Comben,North Melbourne,Key Defender,8.0,4.0,4.0,0.5,0.5,2.0,0.0,1.0,-4.25,-3.5,-0.75,-3.5
1,Colby McKercher,North Melbourne,Gen. Defender,17.0,9.0,8.0,0.53,0.47,3.0,0.0,5.0,-6.13,-5.87,-0.26,-0.39
1,Darcy Tucker,North Melbourne,Gen. Defender,,,,,,,,,,,,
1,Finn O'Sullivan,North Melbourne,Gen. Defender,16.0,10.0,6.0,0.62,0.38,3.0,0.0,0.0,1.68,1.82,-0.14,-1.0
1,Griffin Logue,North Melbourne,Key Defender,6.0,4.0,2.0,0.67,0.33,1.0,0.0,0.0,-5.62,-1.81,-3.81,-3.62
1,Harry Sheezel,North Melbourne,Mid-Forward,31.0,15.0,16.0,0.48,0.52,6.0,0.0,4.0,1.7,0.17,1.52,0.22
1,Jack Darling,North Melbourne,Key Forward,15.0,9.0,6.0,0.6,0.4,5.0,1.0,2.0,5.23,2.68,2.54,1.64
1,Jackson Archer,North Melbourne,Gen. Defender,11.0,7.0,4.0,0.64,0.36,3.0,0.0,1.0,3.0,2.67,0.33,2.0
1,Jacob Konstanty,North Melbourne,Gen. Forward,10.0,6.0,4.0,0.6,0.4,1.0,0.0,6.0,0.87,1.04,-0.17,-0.65
1,Jy Simpkin,North Melbourne,Mid-Forward,30.0,19.0,11.0,0.63,0.37,4.0,1.0,7.0,7.86,6.19,1.67,-0.05
1,Luke Davies-Uniacke,North Melbourne,Midfielder,20.0,12.0,8.0,0.6,0.4,4.0,2.0,2.0,-4.73,0.32,-5.04,0.27
1,Luke McDonald,North Melbourne,Gen. Defender,20.0,11.0,9.0,0.55,0.45,5.0,0.0,2.0,4.53,1.73,2.8,0.53
1,Luke Parker,North Melbourne,Midfielder,21.0,10.0,11.0,0.48,0.52,5.0,0.0,4.0,-2.32,-1.46,-0.86,1.46
1,Nick Larkey,North Melbourne,Key Forward,8.0,7.0,1.0,0.88,0.12,3.0,5.0,1.0,-1.71,0.65,-2.35,-1.59
1,Paul Curtis,North Melbourne,Gen. Forward,13.0,8.0,5.0,0.62,0.38,4.0,3.0,4.0,1.26,0.11,1.16,0.05
1,Robert Hansen Jr,North Melbourne,Mid-Forward,15.0,6.0,9.0,0.4,0.6,1.0,0.0,0.0,6.33,0.83,5.5,-1.17
1,Tom Powell,North Melbourne,Midfielder,27.0,13.0,14.0,0.48,0.52,7.0,0.0,8.0,4.0,2.52,1.48,3.17
1,Tristan Xerri,North Melbourne,Ruck,17.0,4.0,13.0,0.24,0.76,4.0,0.0,7.0,-0.25,-2.15,1.9,2.35
1,Will Phillips,North Melbourne,Midfielder,,,,,,,,,,,,
2,Aidan Corr,North Melbourne,Key Defender,17.0,14.0,3.0,0.82,0.18,7.0,0.0,0.0,3.3,4.0,-0.7,2.7
2,Bailey Scott,North Melbourne,Midfielder,17.0,11.0,6.0,0.65,0.35,8.0,1.0,2.0,6.5,4.92,1.58,4.33
2,Caleb Daniel,North Melbourne,Gen. Defender,31.0,25.0,6.0,0.81,0.19,6.0,0.0,3.0,5.39,8.65,-3.26,2.17
2,Cameron Zurhaar,North Melbourne,Gen. Forward,17.0,12.0,5.0,0.71,0.29,3.0,4.0,1.0,6.46,4.36,2.09,-0.86
2,Charlie Comben,North Melbourne,Key Defender,16.0,13.0,3.0,0.81,0.19,12.0,0.0,1.0,3.75,5.5,-1.75,6.5
2,Colby McKercher,North Melbourne,Gen. Defender,17.0,11.0,6.0,0.65,0.35,1.0,1.0,2.0,-6.13,-3.87,-2.26,-2.39
2,Darcy Tucker,North Melbourne,Gen. Defender,16.0,9.0,7.0,0.56,0.44,4.0,0.0,2.0,2.71,1.71,1.0,0.29
2,Dylan Stephens,North Melbourne,Midfielder,,,,,,,,,,,,
2,Finn O'Sullivan,North Melbourne,Gen. Defender,12.0,9.0,3.0,0.75,0.25,2.0,0.0,0.0,-2.32,0.82,-3.14,-2.0
2,Harry Sheezel,North Melbourne,Mid-Forward,28.0,15.0,13.0,0.54,0.46,7.0,0.0,2.0,-1.3,0.17,-1.48,1.22
2,Jack Darling,North Melbourne,Key Forward,14.0,8.0,6.0,0.57,0.43,4.0,2.0,3.0,4.23,1.68,2.54,0.64
2,Jacob Konstanty,North Melbourne,Gen. Forward,,,,,,,,,,,,
2,Jy Simpkin,North Melbourne,Mid-Forward,24.0,9.0,15.0,0.38,0.62,6.0,1.0,2.0,1.86,-3.81,5.67,1.95
2,Luke Davies-Uniacke,North Melbourne,Midfielder,23.0,9.0,14.0,0.39,0.61,2.0,0.0,7.0,-1.73,-2.68,0.96,-1.73
2,Luke McDonald,North Melbourne,Gen. Defender,15.0,9.0,6.0,0.6,0.4,6.0,0.0,0.0,-0.47,-0.27,-0.2,1.53
2,Luke Parker,North Melbourne,Midfielder,22.0,10.0,12.0,0.45,0.55,3.0,1.0,2.0,-1.32,-1.46,0.14,-0.54
2,Nick Larkey,North Melbourne,Key Forward,10.0,6.0,4.0,0.6,0.4,3.0,3.0,2.0,0.29,-0.35,0.65,-1.59
2,Paul Curtis,North Melbourne,Gen. Forward,22.0,13.0,9.0,0.59,0.41,6.0,3.0,4.0,10.26,5.11,5.16,2.05
2,Robert Hansen Jr,North Melbourne,Mid-Forward,15.0,7.0,8.0,0.47,0.53,3.0,0.0,1.0,6.33,1.83,4.5,0.83
2,Toby Pink,North Melbourne,Key Defender,12.0,10.0,2.0,0.83,0.17,9.0,0.0,3.0,1.41,2.71,-1.29,3.82
2,Tom Powell,North Melbourne,Midfielder,31.0,15.0,16.0,0.48,0.52,2.0,1.0,2.0,8.0,4.52,3.48,-1.83
2,Tristan Xerri,North Melbourne,Ruck,20.0,5.0,15.0,0.25,0.75,2.0,1.0,2.0,2.75,-1.15,3.9,0.35
2,Will Phillips,North Melbourne,Midfielder,,,,,,,,,,,,
3,Aidan Corr,North Melbourne,Key Defender,14.0,12.0,2.0,0.86,0.14,4.0,0.0,1.0,0.3,2.0,-1.7,-0.3
3,Bailey Scott,North Melbourne,Midfielder,12.0,8.0,4.0,0.67,0.33,7.0,0.0,0.0,1.5,1.92,-0.42,3.33
3,Caleb Daniel,North Melbourne,Gen. Defender,33.0,22.0,11.0,0.67,0.33,9.0,0.0,0.0,7.39,5.65,1.74,5.17
3,Cameron Zurhaar,North Melbourne,Gen. Forward,8.0,5.0,3.0,0.62,0.38,2.0,1.0,5.0,-2.54,-2.64,0.09,-1.86
3,Charlie Comben,North Melbourne,Key Defender,13.0,12.0,1.0,0.92,0.08,7.0,0.0,2.0,0.75,4.5,-3.75,1.5
3,Colby McKercher,North Melbourne,Gen. Defender,19.0,14.0,5.0,0.74,0.26,8.0,0.0,0.0,-4.13,-0.87,-3.26,4.61
3,Darcy Tucker,North Melbourne,Gen. Defender,19.0,12.0,7.0,0.63,0.37,4.0,0.0,3.0,5.71,4.71,1.0,0.29
3,Dylan Stephens,North Melbourne,Midfielder,,,,,,,,,,,,
