Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Aliir Aliir,Port Adelaide,Key Defender,12.0,8.0,4.0,0.67,0.33,3.0,0.0,2.0,-1.18,-1.77,0.59,-2.91
1,Connor Rozee,Port Adelaide,Gen. Defender,35.0,19.0,16.0,0.54,0.46,3.0,0.0,4.0,7.57,1.0,6.57,-1.86
1,Darcy Byrne-Jones,Port Adelaide,Gen. Forward,9.0,5.0,4.0,0.56,0.44,3.0,1.0,1.0,-3.73,-3.18,-0.54,-0.23
1,Jack Lukosius,Port Adelaide,Key Forward,11.0,8.0,3.0,0.73,0.27,4.0,1.0,1.0,2.0,1.29,0.71,-0.29
1,Jackson Mead,Port Adelaide,Midfielder,16.0,6.0,10.0,0.38,0.62,5.0,0.0,2.0,2.8,-0.65,3.45,2.3
1,Jase Burgoyne,Port Adelaide,Midfielder,16.0,5.0,11.0,0.31,0.69,2.0,0.0,2.0,-3.2,-6.2,3.0,-2.6
1,Jason Horne-Francis,Port Adelaide,Midfielder,25.0,19.0,6.0,0.76,0.24,1.0,1.0,1.0,4.13,5.6,-1.47,-3.13
1,Jeremy Finlayson,Port Adelaide,Key Forward,19.0,16.0,3.0,0.84,0.16,10.0,0.0,0.0,10.12,9.62,0.5,6.38
1,Joe Berry,Port Adelaide,Gen. Forward,9.0,6.0,3.0,0.67,0.33,6.0,0.0,0.0,0.0,0.67,-0.67,3.58
1,Joe Richards,Port Adelaide,Gen. Forward,15.0,8.0,7.0,0.53,0.47,4.0,0.0,2.0,-0.23,0.27,-0.5,0.64
1,Jordon Sweet,Port Adelaide,Ruck,14.0,6.0,8.0,0.43,0.57,3.0,1.0,3.0,2.79,1.16,1.63,1.1
1,Josh Sinn,Port Adelaide,Gen. Defender,13.0,8.0,5.0,0.62,0.38,5.0,0.0,1.0,1.55,-0.6,2.15,1.85
1,Kane Farrell,Port Adelaide,Gen. Defender,23.0,14.0,9.0,0.61,0.39,6.0,0.0,3.0,2.71,-2.19,4.9,1.43
1,Lachie Jones,Port Adelaide,Gen. Defender,,,,,,,,,,,,
1,Logan Evans,Port Adelaide,Gen. Defender,10.0,5.0,5.0,0.5,0.5,0.0,0.0,0.0,-2.9,-2.8,-0.1,-2.8
1,Miles Bergman,Port Adelaide,Gen. Defender,16.0,10.0,6.0,0.62,0.38,5.0,0.0,3.0,-1.79,-2.21,0.42,-0.11
1,Mitch Georgiades,Port Adelaide,Key Forward,7.0,4.0,3.0,0.57,0.43,4.0,0.0,1.0,-5.09,-4.83,-0.26,-1.48
1,Ollie Wines,Port Adelaide,Midfielder,34.0,8.0,26.0,0.24,0.76,3.0,0.0,4.0,8.6,-1.85,10.45,-0.85
1,Ryan Burton,Port Adelaide,Gen. Defender,,,,,,,,,,,,
1,Sam Powell-Pepper,Port Adelaide,Gen. Forward,8.0,4.0,4.0,0.5,0.5,3.0,0.0,0.0,-6.62,-3.38,-3.25,-0.88
1,Travis Boak,Port Adelaide,Mid-Forward,28.0,9.0,19.0,0.32,0.68,8.0,1.0,6.0,7.5,0.06,7.44,3.81
1,Willem Drew,Port Adelaide,Midfielder,16.0,6.0,10.0,0.38,0.62,0.0,0.0,5.0,-2.17,-2.09,-0.09,-2.17
1,Willie Rioli,Port Adelaide,Gen. Forward,12.0,7.0,5.0,0.58,0.42,2.0,1.0,1.0,2.21,0.26,1.95,-0.58
2,Aliir Aliir,Port Adelaide,Key Defender,16.0,12.0,4.0,0.75,0.25,9.0,0.0,0.0,2.82,2.23,0.59,3.09
2,Christian Moraes,Port Adelaide,Midfielder,17.0,8.0,9.0,0.47,0.53,6.0,0.0,0.0,4.79,2.71,2.07,3.21
2,Connor Rozee,Port Adelaide,Gen. Defender,39.0,23.0,16.0,0.59,0.41,7.0,2.0,5.0,11.57,5.0,6.57,2.14
2,Darcy Byrne-Jones,Port Adelaide,Gen. Forward,18.0,14.0,4.0,0.78,0.22,4.0,1.0,2.0,5.27,5.82,-0.54,0.77
2,Jack Lukosius,Port Adelaide,Key Forward,,,,,,,,,,,,
2,Jackson Mead,Port Adelaide,Midfielder,30.0,8.0,22.0,0.27,0.73,6.0,0.0,3.0,16.8,1.35,15.45,3.3
2,Jase Burgoyne,Port Adelaide,Midfielder,32.0,16.0,16.0,0.5,0.5,8.0,2.0,2.0,12.8,4.8,8.0,3.4
2,Jason Horne-Francis,Port Adelaide,Midfielder,17.0,9.0,8.0,0.53,0.47,5.0,1.0,3.0,-3.87,-4.4,0.53,0.87
2,Joe Berry,Port Adelaide,Gen. Forward,10.0,4.0,6.0,0.4,0.6,2.0,1.0,3.0,1.0,-1.33,2.33,-0.42
2,Joe Richards,Port Adelaide,Gen. Forward,25.0,7.0,18.0,0.28,0.72,5.0,1.0,2.0,9.77,-0.73,10.5,1.64
2,Jordon Sweet,Port Adelaide,Ruck,11.0,3.0,8.0,0.27,0.73,2.0,0.0,3.0,-0.21,-1.84,1.63,0.1
2,Josh Sinn,Port Adelaide,Gen. Defender,22.0,19.0,3.0,0.86,0.14,8.0,0.0,1.0,10.55,10.4,0.15,4.85
2,Kane Farrell,Port Adelaide,Gen. Defender,31.0,17.0,14.0,0.55,0.45,8.0,1.0,1.0,10.71,0.81,9.91,3.43
2,Lachie Jones,Port Adelaide,Gen. Defender,15.0,6.0,9.0,0.4,0.6,4.0,0.0,3.0,4.11,-0.11,4.22,1.22
