Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
1,Archer Reid,West Coast,Key Forward,6.0,1.0,5.0,0.17,0.83,0.0,0.0,3.0,0.36,-2.43,2.79,-2.07
1,Brady Hough,West Coast,Midfielder,16.0,8.0,8.0,0.5,0.5,4.0,0.0,2.0,0.54,0.5,0.04,-0.46
1,Elijah Hewett,West Coast,Midfielder,11.0,6.0,5.0,0.55,0.45,1.0,0.0,4.0,-5.25,-1.3,-3.95,-0.65
1,Harley Reid,West Coast,Midfielder,12.0,6.0,6.0,0.5,0.5,1.0,1.0,1.0,-6.84,-4.21,-2.63,-1.53
1,Harry Edwards,West Coast,Key Defender,3.0,2.0,1.0,0.67,0.33,1.0,0.0,2.0,-6.38,-4.0,-2.38,-3.25
1,Jack Graham,West Coast,Mid-Forward,23.0,11.0,12.0,0.48,0.52,3.0,0.0,10.0,3.78,1.11,2.67,1.0
1,Jack Hutchinson,West Coast,Midfielder,12.0,7.0,5.0,0.58,0.42,5.0,0.0,7.0,-1.31,-0.69,-0.62,0.88
1,Jake Waterman,West Coast,Key Forward,,,,,,,,,,,,
1,Jamie Cripps,West Coast,Gen. Forward,14.0,11.0,3.0,0.79,0.21,4.0,0.0,0.0,2.71,3.33,-0.62,0.62
1,Jayden Hunt,West Coast,Midfielder,8.0,3.0,5.0,0.38,0.62,1.0,0.0,1.0,-4.27,-3.73,-0.53,-1.0
1,Jeremy McGovern,West Coast,Key Defender,19.0,14.0,5.0,0.74,0.26,1.0,0.0,2.0,1.17,1.83,-0.67,-4.0
1,Liam Baker,West Coast,Gen. Defender,21.0,14.0,7.0,0.67,0.33,3.0,0.0,1.0,-1.09,2.74,-3.83,-0.65
1,Liam Duggan,West Coast,Gen. Defender,20.0,11.0,9.0,0.55,0.45,4.0,0.0,3.0,-0.24,-4.19,3.95,-1.76
1,Matt Flynn,West Coast,Ruck,13.0,7.0,6.0,0.54,0.46,4.0,1.0,3.0,0.28,0.28,0.0,-0.06
1,Matthew Owies,West Coast,Gen. Forward,11.0,5.0,6.0,0.45,0.55,5.0,1.0,3.0,2.06,-0.56,2.62,2.12
1,Noah Long,West Coast,Gen. Forward,6.0,2.0,4.0,0.33,0.67,1.0,0.0,0.0,-1.6,-2.0,0.4,-0.8
1,Oscar Allen,West Coast,Key Forward,8.0,6.0,2.0,0.75,0.25,5.0,2.0,3.0,-0.83,-0.75,-0.08,1.67
1,Reuben Ginbey,West Coast,Gen. Defender,16.0,10.0,6.0,0.62,0.38,3.0,0.0,4.0,2.65,1.39,1.26,-0.48
1,Ryan Maric,West Coast,Gen. Defender,,,,,,,,,,,,
1,Tim Kelly,West Coast,Mid-Forward,14.0,7.0,7.0,0.5,0.5,2.0,0.0,6.0,-3.6,-1.75,-1.85,-0.75
1,Tom Cole,West Coast,Gen. Defender,19.0,10.0,9.0,0.53,0.47,8.0,0.0,4.0,2.61,1.33,1.28,3.0
1,Tyler Brockman,West Coast,Gen. Forward,15.0,3.0,12.0,0.2,0.8,1.0,0.0,3.0,3.6,-2.6,6.2,-1.45
1,Tyrell Dewar,West Coast,Midfielder,15.0,12.0,3.0,0.8,0.2,2.0,0.0,1.0,2.25,2.94,-0.69,-1.38
2,Archer Reid,West Coast,Key Forward,7.0,5.0,2.0,0.71,0.29,1.0,0.0,0.0,1.36,1.57,-0.21,-1.07
2,Bailey J. Williams,West Coast,Ruck,,,,,,,,,,,,
2,Brady Hough,West Coast,Midfielder,14.0,10.0,4.0,0.71,0.29,4.0,0.0,5.0,-1.46,2.5,-3.96,-0.46
2,Clay Hall,West Coast,Midfielder,15.0,4.0,11.0,0.27,0.73,0.0,1.0,3.0,-1.23,-2.38,1.15,-2.23
2,Elijah Hewett,West Coast,Midfielder,13.0,8.0,5.0,0.62,0.38,2.0,0.0,2.0,-3.25,0.7,-3.95,0.35
2,Harley Reid,West Coast,Midfielder,15.0,8.0,7.0,0.53,0.47,3.0,0.0,7.0,-3.84,-2.21,-1.63,0.47
